ranking_year,category,institute_name,img_ss_score,pdf_total_intake
2025,Innovation,Indian Institute of Science,,1832.0
2025,Overall,Indian Institute of Science,12.5,1832.0
2025,Overall,Indian Institute of Science Education & Research Bhopal,8.72,1776.0
2025,Overall,Indian Institute of Science Education & Research Pune,6.88,1386.0
2025,Overall,"Indian Institute of Science Education & Research, Mohali",7.29,1195.0
2025,Overall,Indian Institute of Science Education & Research Kolkata,6.96,1363.0
2025,Research,Indian Institute of Science,19.0,
2025,Research,Indian Institute of Science Education & Research Pune,12.89,
2025,Research,Indian Institute of Science Education & Research Kolkata,13.04,
2025,University,Indian Institute of Science,12.5,1832.0
2024,Innovation,"Indian Institute of Science, Bengaluru",,1737.0
2024,Overall,"Indian Institute of Science, Bengaluru",11.0,1737.0
2024,Overall,Indian Institute of Science Education and Research Bhopal,8.65,1696.0
2024,Overall,Indian Institute of Science Education and Research Pune,8.28,1312.0
2024,Overall,Indian Institute of Science Education and Research Mohali,8.66,1151.0
2024,Overall,Indian Institute of Science Education and Research Kolkata,7.5,1326.0
2024,Research,"Indian Institute of Science, Bengaluru",17.0,
2024,Research,Indian Institute of Science Education and Research Pune,13.04,
2024,Research,Indian Institute of Science Education and Research Mohali,13.54,
2024,Research,Indian Institute of Science Education and Research Kolkata,12.33,
2024,University,"Indian Institute of Science, Bengaluru",11.0,1737.0
2023,Overall,Indian Institute of Science,11.0,1614.0
2023,Overall,Indian Institute of Science Education & Research Bhopal,8.58,1609.0
2023,Overall,Indian Institute of Science Education & Research Pune,8.53,
2023,Overall,"Indian Institute of Science Education & Research, Pune",,1233.0
2023,Overall,"Indian Institute of Science Education & Research, Mohali",8.77,1107.0
2023,Overall,Indian Institute of Science Education & Research Kolkata,7.66,
2023,Overall,"Indian Institute of Science Education & Research, Kolkata",,1146.0
2023,Research,Indian Institute of Science,17.0,
2023,Research,Indian Institute of Science Education & Research Pune,13.37,
2023,Research,"Indian Institute of Science Education & Research, Mohali",13.7,
2023,Research,Indian Institute of Science Education & Research Kolkata,12.55,
2023,University,Indian Institute of Science,11.0,1614.0
2022,Overall,Indian Institute of Science,11.0,1552.0
2022,Overall,Indian Institute of Science Education & Research Bhopal,8.6,1442.0
2022,Overall,"Indian Institute of Science Education & Research, Pune",8.61,1145.0
2022,Overall,"Indian Institute of Science Education & Research, Mohali",8.63,1063.0
2022,Overall,"Indian Institute of Science Education & Research, Kolkata",7.93,1066.0
2022,Research,Indian Institute of Science,17.0,
2022,Research,Indian Institute of Science Education & Research Bhopal,13.46,
2022,Research,"Indian Institute of Science Education & Research, Pune",13.48,
2022,Research,"Indian Institute of Science Education & Research, Kolkata",12.9,
2022,University,Indian Institute of Science,11.0,1552.0
2021,Overall,Indian Institute of Science Education & Research Bhopal,,1275.0
2021,Overall,Indian Institute of Science,,1579.0
2021,Overall,Indian Institute of Science Education & Research Pune,,1100.0
2021,Overall,"Indian Institute of Science Education & Research, Mohali",,1025.0
2021,Overall,Indian Institute of Science Education & Research Kolkata,,1033.0
2021,Overall,Indian Institute of Science Education & Research Kolkata (IR-O-U-05 72),,
2021,Research,Indian Institute of Science,,
2021,Research,Indian Institute of Science Education & Research Bhopal,,
2021,Research,Indian Institute of Science Education & Research Pune,,
2021,Research,"Indian Institute of Science Education & Research, Mohali",,
2021,Research,Indian Institute of Science Education & Research Kolkata,,
2021,University,Indian Institute of Science,,1579.0
2020,Overall,Indian Institute of Science,,1377.0
2020,Overall,Indian Institute of Science Education & Research Thiruvananthapuram,,990.0
2020,Overall,Indian Institute of Science Education & Research Bhopal,,1150.0
2020,Overall,Indian Institute of Science Education & Research Pune,,1050.0
2020,Overall,Indian Institute of Science Education & Research Mohali,,1000.0
2020,Overall,Indian Institute of Science Education & Research Kolkata,,1027.0
2020,University,Indian Institute of Science,,1377.0
2019,Overall,Indian Institute of Science Education & Research Kolkata,7.53,1005.0
2019,Overall,Indian Institute of Science Education & Research Bhopal,7.75,1010.0
2019,Overall,Indian Institute of Science Education & Research Pune,7.99,1025.0
2019,Overall,Indian Institute of Science Education & Research Mohali,8.68,1000.0
2019,Overall,Indian Institute of Science,10.35,1483.0
2019,University,Indian Institute of Science,10.35,1483.0
2018,Overall,Indian Institute of Science Education & Research Mohali,5.77,
2018,Overall,"Indian Institute of Science, Bengaluru",,
2018,Overall,Indian Institute of Science Education & Research Thiruvananthapuram,4.37,
2018,Overall,"Indian Institute of Science Education & Research Thiruvananthapuram, Thiruvananthapuram",,
2018,Overall,Indian Institute of Science Education & Research Bhopal,6.5,
2018,Overall,"Indian Institute of Science Education & Research Bhopal, Bhopal",,
2018,Overall,Indian Institute of Science Education & Research Pune,5.64,
2018,Overall,"Indian Institute of Science Education & Research Pune, Pune",,
2018,Overall,Indian Institute of Science,10.25,
2018,Overall,"Indian Institute of Science Education & Research Mohali, Mohali",,
2018,Overall,Indian Institute of Science Education & Research Kolkata,6.5,
2018,Overall,"Indian Institute of Science Education & Research Kolkata, Mohanpur",,
2018,University,Indian Institute of Science,10.25,
2018,University,"Indian Institute of Science, Bengaluru",,
2017,Overall,"Indian Institute of Science Education & Research, Kolkata",,
2017,Overall,"Indian Institute of Science Education & Research, Pune",,
2017,Overall,"Indian Institute of Science Education & Research, Mohali",,
2017,Overall,Indian Institute of Science Bangalore,,
2017,Overall,"Indian Institute of Science Education & Research, Bhopal",,
2017,University,Indian Institute of Science Bangalore,,
2016,Engineering,"Indian Institute of Science Education & Research, Mohali",,
